Kanton,Verbrauchsprofile typischer Haushalte,Periode,Produkt,Total exkl. MWST (Rp./kWH),Netznutzung (Rp./kWH),Energielieferungkosten (Rp./kWH),Abgaben an das Gemeinwesen (Rp./kWH),Förderabgaben (KEV) (Rp./kWH)
Bern,H5,2020,Günstigstes Produkt,22.88447619047616,11.0013333333333,8.50293333333333,1.5,2.3
Luzern,H5,2023,Günstigstes Produkt,26.18843,7.9744,15.1166,0.79743,2.3
Appenzell Ausserrhoden,H4,2022,Günstigstes Produkt,19.70333333333333,9.683333333333334,7.72,0,2.3
Jura,C3,2020,Günstigstes Produkt,20.966,9.95344444444445,8.51255555555555,0.2,2.3
Freiburg,C3,2022,Günstigstes Produkt,19.360725,6.540725,10.52,0,2.3
Luzern,C3,2022,Günstigstes Produkt,18.61288888888889,8.065777777777777,7.437111111111111,0.81,2.3
Glarus,H5,2019,Günstigstes Produkt,20.77355714285711,11.3863333333333,6.78722380952381,0.3,2.3
Jura,H4,2023,Günstigstes Produkt,24.5,11.61333333333333,9.086666666666666,1.5,2.3
Waadt,C3,2018,Günstigstes Produkt,17.71053333333334,7.19186666666667,7.11866666666667,0.9,2.3
Tessin,H4,2020,Günstigstes Produkt,20.35333333333334,8.44333333333334,7.4,2.21,2.3
Freiburg,C3,2019,Günstigstes Produkt,19.08071388888889,6.26071388888889,10.52,0,2.3
Jura,C3,2024,Günstigstes Produkt,25.63776111111111,12.17553888888889,10.96222222222222,0.2,2.3
Schwyz,C3,2023,Günstigstes Produkt,33.42125,9.115,22.43773333333333,1.24,2.3
Glarus,C3,2024,Günstigstes Produkt,29.55,13.45,12.8,1,2.3
Freiburg,C3,2020,Günstigstes Produkt,19.36071388888889,6.54071388888889,10.52,0,2.3
Tessin,H4,2022,Günstigstes Produkt,20.98333333333333,8.743333333333334,7.75,2.19,2.3
Glarus,H5,2021,Günstigstes Produkt,19.89430476190476,10.8183619047619,6.47594285714286,0.3,2.3
Tessin,H4,2018,Günstigstes Produkt,19.49888888888889,8.09888888888889,6.95,2.15,2.3
Luzern,C3,2019,Günstigstes Produkt,16.62906666666668,7.83955555555556,5.70555555555556,0.783955555555556,2.3
Waadt,C3,2023,Günstigstes Produkt,24.23071388888889,7.040713888888889,13.99,0.9,2.3
Graubünden,C3,2018,Günstigstes Produkt,19.19333333333334,7.57377777777778,6.97866666666667,0.95,2.3
Zürich,H1,2019,Günstigstes Produkt,23.02386904761903,13.1246279761905,6.36739583333333,0.35,2.3
Waadt,H5,2020,Günstigstes Produkt,17.97211428571429,7.25154285714286,7.52057142857143,0.9,2.3
Thurgau,H4,2019,Günstigstes Produkt,18.07030158730159,9.86595238095238,6.11793650793651,0.35,2.3
Bern,H1,2020,Günstigstes Produkt,30.2425,16.945,10.6575,1.5,2.3
Genf,H4,2019,Günstigstes Produkt,20.20742857142857,9.57314285714286,8.33428571428571,0,2.3
Waadt,H5,2024,Günstigstes Produkt,29.69889333333333,9.74296,16.33593333333333,1.32,2.3
Appenzell Ausserrhoden,H1,2023,Günstigstes Produkt,29.51,12.11,15.1,0,2.3
Glarus,H5,2020,Günstigstes Produkt,20.40558571428571,11.0183619047619,6.78722380952381,0.3,2.3
Thurgau,H4,2024,Günstigstes Produkt,31.39165079365079,13.28333333333333,14.2,0.25,2.3
Solothurn,C2,2024,Günstigstes Produkt,30.195,12.43,15.025,1,2.3
Jura,H4,2018,Günstigstes Produkt,26.15688888888892,12.9466666666667,9.41022222222222,1.5,2.3
Bern,H1,2022,Günstigstes Produkt,29.86,15.905,10.6575,1.5,2.3
Thurgau,C2,2020,Günstigstes Produkt,17.51345,7.7913,6.8815,0.31,2.3
Tessin,H1,2021,Günstigstes Produkt,22.835,11.085,7.2,2.25,2.3
Appenzell Innerrhoden,H4,2019,Günstigstes Produkt,17.50333333333333,8.59333333333333,6.61,0,2.3
Solothurn,H1,2025,Günstigstes Produkt,35.09208333333333,18.005,13.3,1.1,2.3
Obwalden,H1,2018,Günstigstes Produkt,26.86583333333333,15.1575,8.00833333333333,1.4,2.3
Thurgau,H4,2021,Günstigstes Produkt,18.3888253968254,9.71,6.81312698412699,0.26,2.3
St. Gallen,H2,2022,Günstigstes Produkt,22.11188571428572,11.91371428571429,7.679714285714286,0.6,2.3
Schaffhausen,H1,2020,Günstigstes Produkt,25.275,15.935,7.04,0,2.3
St. Gallen,H4,2023,Günstigstes Produkt,26.76926230285714,9.833333333333334,13.84,1,2.3
Schaffhausen,H1,2019,Günstigstes Produkt,25.055,16.015,6.74,0,2.3
Genf,H4,2018,Günstigstes Produkt,20.23047619047619,9.59619047619048,8.33428571428571,0,2.3
Genf,H4,2020,Günstigstes Produkt,20.28019047619047,9.64590476190476,8.33428571428571,0,2.3
St. Gallen,H4,2020,Günstigstes Produkt,19.45333333333333,8.47333333333333,7.23,0.6,2.3
Appenzell Innerrhoden,H4,2023,Günstigstes Produkt,25.97333333333333,9.833333333333334,13.84,0,2.3
Schwyz,C2,2019,Günstigstes Produkt,20.32005555555556,8.85522222222222,7.59755555555556,1.24,2.3
Uri,C2,2023,Günstigstes Produkt,28.51806666666667,10.87833333333333,14.33973333333333,1,2.3
Glarus,H5,2022,Günstigstes Produkt,20.69430476190476,10.6183619047619,7.475942857142857,0.3,2.3
Bern,H1,2019,Günstigstes Produkt,30.4225,16.755,10.6575,1.5,2.3
Zug,C2,2022,Günstigstes Produkt,18.32502361111111,8.08536111111111,7.9396625,0,2.3
Wallis,H1,2022,Günstigstes Produkt,24.43,11.05,9.75,1.33,2.3
Obwalden,H4,2020,Günstigstes Produkt,20.78095238095236,10.0190476190476,7.06190476190476,1.4,2.3
Zürich,H4,2023,Günstigstes Produkt,22.08952380952381,10.65590476190476,6.983619047619047,2.15,2.3
Genf,H1,2018,Günstigstes Produkt,23.465,12.565,8.6,0,2.3
Zürich,H4,2021,Günstigstes Produkt,19.43666507936508,9.50566031746032,6.89041111111111,0.32,2.3
